id,paper_id,question_id,question_part,element_type,content,element_id,created_at,updated_at
1067,p_425603950984d2039,2005,a,list,3\n30\n300\n3000,1,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1068,p_425603950984d2039,2006,b,list,-12\n-2\n2\n12,2,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1069,p_425603950984d2039,2007,c,list,-9\n-6\n6\n9,3,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1070,p_425603950984d2039,2008,,list,"$P = \frac{r}{2}$\n$P=r+2$\n$P=r-2$\n$P = 2r$",4,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1071,p_425603950984d2039,2009,,formula,"$31 \times 18$",1,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1072,p_425603950984d2039,2010,,diagram,,1,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1073,p_425603950984d2039,2011,,list,RHV,5,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1074,p_425603950984d2039,2012,a,list,"$17+ 3 < 29 - 10$\n$17+3=29 - 10$\n$17+3 > 29 – 10$",6,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1075,p_425603950984d2039,2013,b,formula,"$60 \div 2 + 4$",2,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1076,p_425603950984d2039,2014,,table,"[{"Cost of 100 grams":""},{"Cereal":"49p"},{"Pasta":"14p"}]",1,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1077,p_425603950984d2039,2014,,formula,£,3,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1078,p_425603950984d2039,2015,a,formula,$8$,4,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1079,p_425603950984d2039,2015,a,formula,$12$,5,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1080,p_425603950984d2039,2015,a,list,,7,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1081,p_425603950984d2039,2016,b,formula,$98$,6,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1082,p_425603950984d2039,2016,b,formula,$103$,7,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1083,p_425603950984d2039,2016,b,formula,$91$,8,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1084,p_425603950984d2039,2016,b,formula,$85$,9,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1085,p_425603950984d2039,2016,b,formula,$159$,10,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1086,p_425603950984d2039,2016,b,formula,$102$,11,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1087,p_425603950984d2039,2016,b,formula,$91$,12,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1088,p_425603950984d2039,2017,,formula,$50\%$,13,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1089,p_425603950984d2039,2018,a,formula,"$$\frac{\text{length of shortest side}}{\text{length of longest side}}$$",14,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1090,p_425603950984d2039,2018,a,diagram,,2,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1091,p_425603950984d2039,2019,b,diagram,,3,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1092,p_425603950984d2039,2019,b,formula,"$x = 3y$",15,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1093,p_425603950984d2039,2020,,table,"[{"Company":"" ,"Damage":"Damage" ,"Loss":"Loss"},{"A":"£8.65" ,"Damage":"£12.20" ,"Loss":""},{"B":"£7.25" ,"Damage":"£14.10" ,"Loss":""}]",2,"2025-04-01 19:20:13","2025-04-01 19:20:13"
1094,p_425603950984d2039,2023,,formula,"$$\frac{11}{18} - \frac{1}{3}$$",16,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1095,p_425603950984d2039,2024,a,formula,$2$,17,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1096,p_425603950984d2039,2024,a,formula,$46$,18,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1097,p_425603950984d2039,2025,b,formula,$k$,19,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1098,p_425603950984d2039,2025,b,formula,$34$,20,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1099,p_425603950984d2039,2025,b,formula,$10$,21,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1100,p_425603950984d2039,2026,,diagram,,4,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1101,p_425603950984d2039,2027,,formula,$$\frac{1}{8}$$,22,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1102,p_425603950984d2039,2027,,formula,$$\frac{2}{5}$$,23,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1103,p_425603950984d2039,2028,,diagram,,5,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1104,p_425603950984d2039,2028,,formula,"$y = 2x + 1$",24,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1105,p_425603950984d2039,2028,,formula,"$7- 3x = 2x + 1$",25,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1106,p_425603950984d2039,2029,,diagram,,6,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1107,p_425603950984d2039,2029,,list,arc\nsector\nchord\nsegment,8,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1108,p_425603950984d2039,2030,,formula,"$80000000 \div 200$",26,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1109,p_425603950984d2039,2031,a,formula,$$\frac{3^{12}}{3^7}$$,27,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1110,p_425603950984d2039,2032,b,formula,"$8 \times 2^6 \times 2^4$",28,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1111,p_425603950984d2039,2033,,diagram,,7,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1112,p_425603950984d2039,2034,,formula,"$y = x^3 - 4$",29,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1113,p_425603950984d2039,2034,,list,A\nB\nC\nD,9,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1114,p_425603950984d2039,2035,,diagram,,8,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1115,p_425603950984d2039,2036,,formula,"basic hourly rate : overtime hourly rate",30,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1116,p_425603950984d2039,2037,a,formula,,31,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1117,p_425603950984d2039,2039,,diagram,,9,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1118,p_425603950984d2039,2040,,diagram,,10,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1119,p_425603950984d2039,2040,,formula,$$\frac{3}{4}$$,32,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1120,p_425603950984d2039,2040,,formula,"$20$ cm",33,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1121,p_425603950984d2039,2040,,diagram,,11,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1122,p_425603950984d2039,2040,,formula,$$\frac{1}{3}$$,34,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1123,p_425603950984d2039,2040,,formula,"$15$ cm",35,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1124,p_425603950984d2039,2041,,formula,"$$\frac{2w}{15} = \frac{4}{5}$$",36,"2025-04-01 19:20:14","2025-04-01 19:20:14"
1125,p_425603950984d2039,2042,,formula,"$300$ cm³",37,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1126,p_425603950984d2039,2042,,formula,"$2$ g/cm³",38,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1127,p_425603950984d2039,2042,,list,"150 g\n298 g\n302 g\n600 g",10,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1128,p_425603950984d2039,2043,,formula,"$x : y$ is $9 : 5$",39,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1129,p_425603950984d2039,2043,,formula,$$\frac{2x}{y}$$,40,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1130,p_425603950984d2039,2043,,list,$$\frac{5}{18}$$\n$$\frac{18}{5}$$\n$$\frac{9}{10}$$\n$$\frac{10}{9}$$,11,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1131,p_c9960cd31bc895190,2093,,formula,"$\\frac{1}{2} \\times 5$",1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1132,p_c9960cd31bc895190,2094,,formula,$5$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1133,p_c9960cd31bc895190,2094,,formula,$-2$,2,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1134,p_c9960cd31bc895190,2095,,formula,"$3 \\times a \\times 3 \\times a$",1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1135,p_c9960cd31bc895190,2096,,diagram,"A shape with four arrows pointing outwards from the center.",1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1136,p_c9960cd31bc895190,2096,,list,"A
B
C
D",2,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1137,p_c9960cd31bc895190,2097,,formula,$20\\%$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1138,p_c9960cd31bc895190,2097,,formula,"$14 000$",2,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1139,p_c9960cd31bc895190,2098,a,formula,$0.85$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1140,p_c9960cd31bc895190,2099,b,formula,$\\frac{5}{8}$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1141,p_c9960cd31bc895190,2100,,diagram,"A rectangular carpet measuring 8m x 6m with a smaller 2m x 2m rug in the centre.",2,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1142,p_c9960cd31bc895190,2100,,formula,$8$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1143,p_c9960cd31bc895190,2100,,formula,$2$,3,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1144,p_c9960cd31bc895190,2100,,formula,$\\frac{1}{12}$,4,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1145,p_c9960cd31bc895190,2101,,formula,$1.00$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1146,p_c9960cd31bc895190,2103,a,formula,$5$,1,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1147,p_c9960cd31bc895190,2103,a,formula,$6$,2,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1148,p_c9960cd31bc895190,2103,a,formula,$1$,3,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1149,p_c9960cd31bc895190,2103,a,formula,$3$,4,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1150,p_c9960cd31bc895190,2103,a,formula,$5$,5,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1151,p_c9960cd31bc895190,2103,a,formula,$5$,6,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1152,p_c9960cd31bc895190,2103,a,formula,$8$,7,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1153,p_c9960cd31bc895190,2103,a,formula,$4$,8,"2025-04-01 19:20:15","2025-04-01 19:20:15"
1154,p_c9960cd31bc895190,2103,a,formula,$2$,9,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1155,p_c9960cd31bc895190,2103,a,formula,$2$,10,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1156,p_c9960cd31bc895190,2105,,table,"[{"Cost for each coach":"Pay for driver", "£90":""}, {"Cost for each coach":"Fuel", "70p per mile":""}]",1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1157,p_c9960cd31bc895190,2105,,formula,$50$,2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1158,p_c9960cd31bc895190,2105,,formula,$£25$,3,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1159,p_c9960cd31bc895190,2105,,formula,$200$,4,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1160,p_c9960cd31bc895190,2106,a,formula,"$16.4 - 3.92 + 7.8$",1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1161,p_c9960cd31bc895190,2107,b,formula,"$2843.61 \\div 7$",1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1162,p_c9960cd31bc895190,2108,,diagram,"A spinner with the numbers 1, 2, 4, and 6.",3,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1163,p_c9960cd31bc895190,2108,,diagram,"A spinner with the numbers 2, 3, 2, and 5.",4,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1164,p_c9960cd31bc895190,2109,a,table,"[{"Spinner B": "2", "2":"3", "3":"5", "5":""}, {"Spinner B":"2", "2":"2", "3":""}, {"Spinner B":"1", "2":"0", "3":""}, {"Spinner B":"Spinner A":"4", "2":""}, {"Spinner A":"6", "2":""}]",2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1165,p_c9960cd31bc895190,2111,c,diagram,"A spinner with the numbers 1, 4, 6, and 7.",5,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1166,p_c9960cd31bc895190,2111,c,diagram,"A spinner with 4 unidentified sectors.",6,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1167,p_c9960cd31bc895190,2111,c,table,"[{"Spinner D":"1", "4":""}, {"Spinner C":"1", "4":"4"}, {"Spinner C":"4", "4":"0"}, {"Spinner C":"6", "4":""}, {"Spinner C":"7", "4":"0", "0":"8"}]",3,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1168,p_c9960cd31bc895190,2113,a,formula,$2$,1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1169,p_c9960cd31bc895190,2113,a,formula,$6$,2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1170,p_c9960cd31bc895190,2113,a,formula,$3$,3,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1171,p_c9960cd31bc895190,2115,,formula,"$3a + b = 7$",1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1172,p_c9960cd31bc895190,2115,,formula,"$6x + 8y = 40$",2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1173,p_c9960cd31bc895190,2115,,formula,"$9a + 3b$",3,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1174,p_c9960cd31bc895190,2115,,formula,"$3x + 4y$",4,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1175,p_c9960cd31bc895190,2116,,formula,$x-3=0$,1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1176,p_c9960cd31bc895190,2116,,list,"$(3,0)$
$(0, 3)$
$(-3, 0)$
$(0, -3)$",2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1177,p_c9960cd31bc895190,2117,,formula,$a$,1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1178,p_c9960cd31bc895190,2117,,formula,$a^2$,2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1179,p_c9960cd31bc895190,2118,,formula,$1$,1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1180,p_c9960cd31bc895190,2118,,formula,$1$,2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1181,p_c9960cd31bc895190,2119,,formula,$\\frac{1}{3}$,1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1182,p_c9960cd31bc895190,2119,,list,"$30\\%$
$33\\%$
$33.3\\%$
$33.4\\%$",2,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1183,p_c9960cd31bc895190,2120,,formula,"$\\sqrt{121} - (13 - 5 \\times 2)^{2}$",1,"2025-04-01 19:20:16","2025-04-01 19:20:16"
1184,p_c9960cd31bc895190,2121,a,diagram,"A coordinate grid with the x and y axis labeled -5 to 5. A triangle is plotted on the grid at coordinates (1,1), (1,2) and (2,1).",7,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1185,p_c9960cd31bc895190,2121,a,formula,"$x = 2$",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1186,p_c9960cd31bc895190,2122,b,diagram,"A coordinate grid with the x and y axis labeled -5 to 5. A kite shape is plotted at coordinates (-1, -2), (-3,-3), (-1,-4) and (0, -3).",8,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1187,p_c9960cd31bc895190,2122,b,formula,$90^{\\circ}$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1188,p_c9960cd31bc895190,2122,b,formula,"$(0, 0)$",2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1189,p_c9960cd31bc895190,2123,,formula,$24$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1190,p_c9960cd31bc895190,2124,,diagram,"Plan, side elevation and front elevation of a 3D shape made of 6 centimetre cubes.",9,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1191,p_c9960cd31bc895190,2124,,diagram,"A diagram showing how to make a cube from centimetre cubes measuring 4cm x 4cm x 3cm.",10,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1192,p_c9960cd31bc895190,2124,,formula,"$4$ cm",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1193,p_c9960cd31bc895190,2124,,formula,"$4$ cm",2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1194,p_c9960cd31bc895190,2124,,formula,"$3$ cm",3,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1195,p_c9960cd31bc895190,2125,,formula,$405$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1196,p_c9960cd31bc895190,2125,,formula,$4:11$,2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1197,p_c9960cd31bc895190,2126,,formula,$1.86$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1198,p_c9960cd31bc895190,2126,,formula,$1.6$,2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1199,p_c9960cd31bc895190,2127,,diagram,"A line graph passing through points A, B, C, and D",11,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1200,p_c9960cd31bc895190,2127,,formula,"$A (0, 2)$",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1201,p_c9960cd31bc895190,2127,,formula,"$B (6, 5)$",2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1202,p_c9960cd31bc895190,2127,,formula,$ABCD$,3,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1203,p_c9960cd31bc895190,2127,,formula,"$AB = BC = CD$",4,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1204,p_c9960cd31bc895190,2128,,formula,$50$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1205,p_c9960cd31bc895190,2128,,formula,$31$,2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1206,p_c9960cd31bc895190,2131,,formula,"$5(x + 3) < 60$",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1207,p_c9960cd31bc895190,2132,,formula,$15\\frac{1}{4}$,1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1208,p_c9960cd31bc895190,2132,,formula,$-2\\frac{7}{8}$,2,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1209,p_c9960cd31bc895190,2133,,table,"[{"x":"__________", "12":"__________", "6":"__________"}, {"y":"__________", "12":"4", "6":"8"}]",4,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1210,p_c9960cd31bc895190,2134,,diagram,"A large rectangle containing three smaller identical rectangles.",12,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1211,p_c9960cd31bc895190,2134,,formula,"$15$ cm",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1212,p_c9960cd31bc895190,2135,,formula,"$6 \\times 10^{-4}$",1,"2025-04-01 19:20:17","2025-04-01 19:20:17"
1213,p_c9960cd31bc895190,2135,,formula,"$4 \\times 10^{-2}$",2,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1214,p_c9960cd31bc895190,2135,,formula,"$6 \\times 10^{-4}$",3,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1215,p_c9960cd31bc895190,2135,,formula,$0.07$,4,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1216,p_40ef71b0235bc2938,2044,,formula,$\frac{3}{5}$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1217,p_40ef71b0235bc2938,2045,,formula,$7.5$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1218,p_40ef71b0235bc2938,2046,,list,"Semicircle, Rhombus, Trapezium, Isosceles triangle",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1219,p_40ef71b0235bc2938,2047,,list,"$-19$, $-5$, $5$, $19$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1220,p_40ef71b0235bc2938,2048,a,formula,"$x-3= 14$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1221,p_40ef71b0235bc2938,2049,b,formula,"$5y = 45$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1222,p_40ef71b0235bc2938,2050,c,formula,"$8+ w = 6$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1223,p_40ef71b0235bc2938,2051,a,formula,"$9174 \div 11$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1224,p_40ef71b0235bc2938,2052,b,formula,"$\frac{5}{6} + \frac{3}{7}$",1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
1225,p_40ef71b0235bc2938,2054,b,formula,$4$,1,"2025-04-01 19:20:18","2025-04-01 19:20:18"
